Country,2010 to 2020 gdp growth,2020_to_2024_%_Growth,average gdp growth
Afghanistan,3.2,-8.5,-2.65
Albania,2.3,5.2,3.75
Algeria,2.3,3.8,3.05
American Samoa,-0.7,0.5,-0.1
Andorra,0,5.9,2.95
Angola,1.5,2.9,2.2
Antigua and Barbuda,1.5,5.8,3.65
Argentina,-0.4,3,1.3
Armenia,3.8,8.6,6.2
Aruba,1.2,9.8,5.5
Australia,2.5,3,2.75
Austria,1.1,2.2,1.65
Azerbaijan,1,3.7,2.35
"Bahamas, The",-0.1,8.2,4.05
Bahrain,3.1,4.4,3.75
Bangladesh,6.6,6.1,6.35
Barbados,-1.1,6.3,2.6
Belarus,0.6,1.1,0.85
Belgium,1.1,3.1,2.1
Belize,1.1,7,4.05
Benin,5,6.7,5.85
Bermuda,-1,5.5,2.25
Bhutan,4.4,4.8,4.6
Bolivia,3.6,3.6,3.6
Bosnia and Herzegovina,2.3,3.9,3.1
Botswana,3.3,4.3,3.8
Brazil,0.1,3.5,1.8
Brunei Darussalam,-0.2,0.3,0.05
Bulgaria,1.9,4,2.95
Burkina Faso,5.4,3.7,4.55
Burundi,3.4,3.1,3.25
Cabo Verde,1.6,9,5.3
Cambodia,7.3,4.8,6.05
Cameroon,4.4,3.5,3.95
Canada,1.7,3.2,2.45
Cayman Islands,2.4,5.5,3.95
Central African Republic,-1.8,0.8,-0.5
Chad,2.2,3.3,2.75
Channel Islands,0.2,6.2,3.2
Chile,2.3,3.5,2.9
China,7,5.3,6.15
"Hong Kong SAR, China",2,1.6,1.8
"Macao SAR, China",-2.8,17.5,7.35
Colombia,2.8,4.8,3.8
Comoros,2.8,2.7,2.75
"Congo, Dem. Rep.",5.2,7.9,6.55
"Congo, Rep.",-0.8,1.7,0.45
Costa Rica,3.2,5.3,4.25
Cote d'Ivoire,6.7,6.5,6.6
Croatia,1.1,6.6,3.85
Cuba,1.4,0,0.7
Curacao,-1.8,5.2,1.7
Cyprus,1.8,6.6,4.2
Czechia,2.3,1.9,2.1
Denmark,1.7,2.3,2
Djibouti,5.7,5.9,5.8
Dominica,-1.1,5.7,2.3
Dominican Republic,4.9,5.9,5.4
Ecuador,2.5,3.8,3.15
"Egypt, Arab Rep.",3.8,4.2,4
El Salvador,1.9,4.8,3.35
Equatorial Guinea,-4.1,-0.3,-2.2
Eritrea,..,..,#DIV/0!
Estonia,3.2,0.4,1.8
Eswatini,2.6,2.6,2.6
Ethiopia,9.3,6.2,7.75
Faroe Islands,3.4,3.3,3.35
Fiji,2.6,7.7,5.15
Finland,0.8,0.6,0.7
France,0.9,2.8,1.85
French Polynesia,0.9,2.6,1.75
Gabon,3.1,2.6,2.85
"Gambia, The",2.9,5.6,4.25
Georgia,4.3,9.7,7
Germany,1.4,0.9,1.15
Ghana,5.5,4.2,4.85
Greece,-1.2,4.4,1.6
Greenland,1.1,1.6,1.35
Grenada,2.9,5.3,4.1
Guam,0.4,3.6,2
Guatemala,3.3,4.6,3.95
Guinea,6.3,5,5.65
Guinea-Bissau,3.8,5.2,4.5
Guyana,5,41,23
Haiti,1.7,-2.3,-0.3
Honduras,3.1,5.5,4.3
Hungary,2.9,2.5,2.7
Iceland,2.9,5,3.95
India,6.1,8.3,7.2
Indonesia,4.9,4.9,4.9
"Iran, Islamic Rep.",1.2,4.5,2.85
Iraq,4.6,2.5,3.55
Ireland,7.6,5.1,6.35
Isle of Man,2.8,-0.2,1.3
Israel,3.5,4.4,3.95
Italy,-0.2,3.6,1.7
Jamaica,1,3.8,2.4
Japan,0.7,1.3,1
Jordan,2.3,2.9,2.6
Kazakhstan,3.4,4.3,3.85
Kenya,4.4,5.6,5
Kiribati,5.1,4.9,5
"Korea, Dem. People's Rep.",..,..,#DIV/0!
"Korea, Rep.",2.9,2.6,2.75
Kosovo,4.1,5.5,4.8
Kuwait,1.3,1.3,1.3
Kyrgyz Republic,4.1,8.3,6.2
Lao PDR,6.8,3.3,5.05
Latvia,2.9,1.6,2.25
Lebanon,-0.5,-2.6,-1.55
Lesotho,1,2.3,1.65
Liberia,1.9,4.6,3.25
Libya,-2,5.8,1.9
Liechtenstein,..,..,#DIV/0!
Lithuania,3.8,2.7,3.25
Luxembourg,2.4,1.1,1.75
Madagascar,2.8,4.3,3.55
Malawi,3.9,2.1,3
Malaysia,4.6,5.4,5
Maldives,4.2,13.2,8.7
Mali,4.4,4.1,4.25
Malta,6.4,7.9,7.15
Marshall Islands,2.5,-0.8,0.85
Mauritania,4,5.5,4.75
Mauritius,2.8,5.8,4.3
Mexico,1.5,3.6,2.55
"Micronesia, Fed. Sts.",0.5,0,0.25
Moldova,3.2,1.6,2.4
Monaco,3.5,11,7.25
Mongolia,6.3,5.1,5.7
Montenegro,1.9,7.5,4.7
Morocco,2.8,4,3.4
Mozambique,5.1,3.8,4.45
Myanmar,6.1,-1.3,2.4
Namibia,2.1,4.4,3.25
Nepal,4.7,4,4.35
Netherlands,1.4,2.8,2.1
New Caledonia,..,..,#DIV/0!
New Zealand,3.1,2.6,2.85
Nicaragua,3.1,5.2,4.15
Niger,5.8,6.3,6.05
Nigeria,2.4,3.3,2.85
North Macedonia,2.3,3.1,2.7
Northern Mariana Islands,2.2,10.7,6.45
Norway,1.5,2.2,1.85
Oman,2.9,3.6,3.25
Pakistan,4.2,3.2,3.7
Palau,1.1,-3,-0.95
Panama,4.4,9.2,6.8
Papua New Guinea,4.8,3.5,4.15
Paraguay,3.6,3.2,3.4
Peru,3.1,3.9,3.5
Philippines,5.7,6.2,5.95
Poland,3.6,3.6,3.6
Portugal,0.6,4.5,2.55
Puerto Rico (US),-1.4,1.8,0.2
Qatar,3.1,2.5,2.8
Romania,3.5,3.2,3.35
Russian Federation,1.1,2.8,1.95
Rwanda,6.4,8.9,7.65
Samoa,1.9,4.9,3.4
San Marino,-0.5,7.3,3.4
Sao Tome and Principe,3.7,0.8,2.25
Saudi Arabia,3.1,5.4,4.25
Senegal,5.2,4.9,5.05
Serbia,1.5,4.3,2.9
Seychelles,5.4,5.2,5.3
Sierra Leone,3,5.3,4.15
Singapore,3.5,4.6,4.05
Sint Maarten (Dutch part),-0.8,6.7,2.95
Slovak Republic,2.5,2.3,2.4
Slovenia,2,3.5,2.75
Solomon Islands,2.9,0.6,1.75
"Somalia, Fed. Rep.",7.7,3.6,5.65
South Africa,1.1,1.9,1.5
South Sudan,-11.7,..,-11.7
Spain,1,4.7,2.85
Sri Lanka,4.4,-1.2,1.6
St. Kitts and Nevis,1.9,4.1,3
St. Lucia,0,9.6,4.8
St. Martin (French part),..,..,#DIV/0!
St. Vincent and the Grenadines,1.8,3.8,2.8
Sudan,-0.7,-13.2,-6.95
Suriname,-0.3,1.3,0.5
Sweden,2,1.5,1.75
Switzerland,1.7,2.5,2.1
Syrian Arab Republic,-8.1,1.3,-3.4
Tajikistan,6.9,8.4,7.65
Tanzania,6.1,4.9,5.5
Thailand,2.8,2.2,2.5
Timor-Leste,5,-12.9,-3.95
Togo,5,6.1,5.55
Tonga,2.2,-0.3,0.95
Trinidad and Tobago,-0.9,1.1,0.1
Tunisia,1.4,2.1,1.75
Turkiye,5.2,6.1,5.65
Turkmenistan,8,6.2,7.1
Turks and Caicos Islands,10.4,15.1,12.75
Tuvalu,4.1,2,3.05
Uganda,4.9,4.9,4.9
Ukraine,-1.4,-7,-4.2
United Arab Emirates,3.2,5.2,4.2
United Kingdom,1.5,3.5,2.5
United States,2.2,3.4,2.8
Uruguay,1.7,3.3,2.5
Uzbekistan,6.2,6.6,6.4
Vanuatu,2.5,2,2.25
"Venezuela, RB",-11.3,4.8,-3.25
Viet Nam,6.5,6,6.25
Virgin Islands (U.S.),-2.2,1.1,-0.55
West Bank and Gaza,3,-4.9,-0.95
"Yemen, Rep.",-7.2,..,-7.2
Zambia,3.8,5.2,4.5
Zimbabwe,3,5.5,4.25
World,2.8,3.8,3.3
East Asia & Pacific,4.6,4.2,4.4
Europe & Central Asia,1.5,3,2.25
Latin America & Caribbean,0.8,3.7,2.25
"Middle East, North Africa, Afghanistan & Pakistan",2.7,4,3.35
North America,2.2,3.4,2.8
South Asia,6.1,7.8,6.95
Sub-Saharan Africa,2.9,3.5,3.2
Low income,0.8,1.7,1.25
Lower middle income,5,6,5.5
Upper middle income,4.8,4.8,4.8
High income,1.8,3,2.4
